Date,Price
2008-12-31,147.7
2009-01-01,147.7
2009-01-02,153.37
2009-01-05,154.43
2009-01-06,157.9
2009-01-07,157.75
2009-01-08,155.32
2009-01-09,152.16
2009-01-12,150.85
2009-01-13,147.24
2009-01-14,137.6
2009-01-15,133.66
2009-01-16,133.3
2009-01-19,124.84
2009-01-20,116.3
2009-01-21,117.15
2009-01-22,116.35
2009-01-23,114.46
2009-01-26,122.17
2009-01-27,123.21
2009-01-28,136.82
2009-01-29,133.26
2009-01-30,133.15
2009-02-02,126.61
2009-02-03,127.15
2009-02-04,129.37
2009-02-05,127.14
2009-02-06,129.96
2009-02-09,131.57
2009-02-10,127.76
2009-02-11,126.61
2009-02-12,122.84
2009-02-13,122.11
2009-02-16,116.95
2009-02-17,109.13
2009-02-18,110.2
2009-02-19,109.94
2009-02-20,102.35
2009-02-23,100.76
2009-02-24,101.08
2009-02-25,102.44
2009-02-26,109.69
2009-02-27,105.98
2009-03-02,98.07
2009-03-03,95.79
2009-03-04,98.24
2009-03-05,91.12
2009-03-06,87.54
2009-03-09,86.77
2009-03-10,97.51
2009-03-11,100.69
2009-03-12,104.69
2009-03-13,106.01
2009-03-16,111.53
2009-03-17,111.67
2009-03-18,114.44
2009-03-19,117.83
2009-03-20,117.99
2009-03-23,126.78
2009-03-24,126.74
2009-03-25,127.34
2009-03-26,129.28
2009-03-27,126.77
2009-03-30,115.85
2009-03-31,121.73
2009-04-01,125.08
2009-04-02,135.78
2009-04-03,137.62
2009-04-06,136.6
2009-04-07,134.11
2009-04-08,137.25
2009-04-09,145.76
2009-04-10,145.76
2009-04-13,145.76
2009-04-14,152.82
2009-04-15,150.08
2009-04-16,154.59
2009-04-17,159.1
2009-04-20,150.78
2009-04-21,147.69
2009-04-22,152.88
2009-04-23,151.09
2009-04-24,155.49
2009-04-27,155.18
2009-04-28,151.1
2009-04-29,156.55
2009-04-30,161.93
2009-05-01,161.93
2009-05-04,163.34
2009-05-05,166.61
2009-05-06,170.85
2009-05-07,168.87
2009-05-08,175.68
2009-05-11,173.74
2009-05-12,170.68
2009-05-13,159.52
2009-05-14,159.22
2009-05-15,161.49
2009-05-18,169.0
2009-05-19,174.65
2009-05-20,175.27
2009-05-21,171.14
2009-05-22,173.29
2009-05-25,173.44
2009-05-26,175.31
2009-05-27,176.89
2009-05-28,174.16
2009-05-29,175.32
2009-06-01,180.6
2009-06-02,180.78
2009-06-03,177.04
2009-06-04,177.3
2009-06-05,179.67
2009-06-08,176.65
2009-06-09,177.68
2009-06-10,180.85
2009-06-11,183.53
2009-06-12,183.93
2009-06-15,177.71
2009-06-16,174.77
2009-06-17,168.64
2009-06-18,172.2
2009-06-19,174.77
2009-06-22,167.73
2009-06-23,165.91
2009-06-24,172.31
2009-06-25,171.79
2009-06-26,171.55
2009-06-29,175.67
2009-06-30,174.08
2009-07-01,177.14
2009-07-02,171.19
2009-07-03,173.48
2009-07-06,169.67
2009-07-07,170.22
2009-07-08,166.48
2009-07-09,168.67
2009-07-10,166.24
2009-07-13,170.68
2009-07-14,175.3
2009-07-15,181.88
2009-07-16,183.72
2009-07-17,184.22
2009-07-20,187.36
2009-07-21,186.81
2009-07-22,187.38
2009-07-23,191.87
2009-07-24,193.24
2009-07-27,196.45
2009-07-28,192.62
2009-07-29,194.23
2009-07-30,198.82
2009-07-31,199.87
2009-08-03,203.42
2009-08-04,203.86
2009-08-05,203.38
2009-08-06,207.58
2009-08-07,212.37
2009-08-10,212.58
2009-08-11,208.82
2009-08-12,211.34
2009-08-13,215.6
2009-08-14,213.8
2009-08-17,207.68
2009-08-18,210.75
2009-08-19,209.39
2009-08-20,212.91
2009-08-21,219.91
2009-08-24,224.76
2009-08-25,226.27
2009-08-26,227.66
2009-08-27,227.26
2009-08-28,229.48
2009-08-31,225.25
2009-09-01,220.08
2009-09-02,216.31
2009-09-03,217.33
2009-09-04,222.5
2009-09-07,225.78
2009-09-08,222.84
2009-09-09,224.52
2009-09-10,222.17
2009-09-11,223.93
2009-09-14,221.73
2009-09-15,223.85
2009-09-16,229.32
2009-09-17,232.6
2009-09-18,231.75
2009-09-21,228.36
2009-09-22,229.07
2009-09-23,232.75
2009-09-24,229.24
2009-09-25,229.17
2009-09-28,234.37
2009-09-29,236.21
2009-09-30,233.25
2009-10-01,227.18
2009-10-02,220.96
2009-10-05,223.55
2009-10-06,232.76
2009-10-07,230.4
2009-10-08,232.79
2009-10-09,232.42
2009-10-12,234.98
2009-10-13,231.82
2009-10-14,239.66
2009-10-15,240.16
2009-10-16,235.5
2009-10-19,240.47
2009-10-20,238.94
2009-10-21,239.02
2009-10-22,234.77
2009-10-23,233.97
2009-10-26,228.43
2009-10-27,224.81
2009-10-28,217.47
2009-10-29,225.29
2009-10-30,219.0
2009-11-02,220.42
2009-11-03,212.9
2009-11-04,218.93
2009-11-05,221.67
2009-11-06,223.79
2009-11-09,229.71
2009-11-10,229.13
2009-11-11,232.51
2009-11-12,231.55
2009-11-13,232.19
2009-11-16,234.21
2009-11-17,231.55
2009-11-18,232.07
2009-11-19,227.7
2009-11-20,223.53
2009-11-23,229.81
2009-11-24,226.82
2009-11-25,226.71
2009-11-26,216.51
2009-11-27,220.48
2009-11-30,218.17
2009-12-01,223.99
2009-12-02,223.12
2009-12-03,223.3
2009-12-04,226.57
2009-12-07,224.92
2009-12-08,219.83
2009-12-09,214.75
2009-12-10,217.29
2009-12-11,214.97
2009-12-14,217.87
2009-12-15,216.32
2009-12-16,221.57
2009-12-17,216.98
2009-12-18,213.51
2009-12-21,216.84
2009-12-22,218.34
2009-12-23,219.92
2009-12-24,219.83
2009-12-25,219.83
2009-12-28,221.62
2009-12-29,222.07
2009-12-30,219.86
2009-12-31,219.96
2010-01-01,219.96
2010-01-04,224.51
2010-01-05,226.6
2010-01-06,227.74
2010-01-07,229.29
2010-01-08,232.16
2010-01-11,231.27
2010-01-12,227.77
2010-01-13,225.71
2010-01-14,226.92
2010-01-15,221.73
2010-01-18,221.17
2010-01-19,223.3
2010-01-20,216.86
2010-01-21,210.7
2010-01-22,207.3
2010-01-25,206.01
2010-01-26,206.4
2010-01-27,199.68
2010-01-28,195.85
2010-01-29,199.65
2010-02-01,201.89
2010-02-02,205.74
2010-02-03,200.22
2010-02-04,187.75
2010-02-05,182.43
2010-02-08,183.37
2010-02-09,186.08
2010-02-10,192.6
2010-02-11,188.3
2010-02-12,185.38
2010-02-15,186.28
2010-02-16,189.43
2010-02-17,193.1
2010-02-18,192.64
2010-02-19,194.85
2010-02-22,194.8
2010-02-23,188.47
2010-02-24,188.22
2010-02-25,184.7
2010-02-26,188.88
2010-03-01,191.24
2010-03-02,193.21
2010-03-03,196.42
2010-03-04,198.19
2010-03-05,204.86
2010-03-08,205.59
2010-03-09,203.92
2010-03-10,207.49
2010-03-11,205.56
2010-03-12,206.95
2010-03-15,204.35
2010-03-16,207.52
2010-03-17,210.69
2010-03-18,207.76
2010-03-19,206.82
2010-03-22,205.27
2010-03-23,207.63
2010-03-24,206.81
2010-03-25,210.95
2010-03-26,212.22
2010-03-29,211.8
2010-03-30,209.56
2010-03-31,207.22
2010-04-01,211.26
2010-04-02,211.26
2010-04-05,211.26
2010-04-06,212.0
2010-04-07,210.78
2010-04-08,206.56
2010-04-09,212.49
2010-04-12,215.37
2010-04-13,214.49
2010-04-14,216.91
2010-04-15,218.04
2010-04-16,210.61
2010-04-19,208.79
2010-04-20,211.95
2010-04-21,207.14
2010-04-22,201.44
2010-04-23,201.99
2010-04-26,204.09
2010-04-27,192.74
2010-04-28,188.55
2010-04-29,193.27
2010-04-30,192.9
2010-05-03,192.02
2010-05-04,179.68
2010-05-05,175.19
2010-05-06,166.8
2010-05-07,159.63
2010-05-10,190.66
2010-05-11,185.67
2010-05-12,187.17
2010-05-13,184.69
2010-05-14,172.05
2010-05-17,171.39
2010-05-18,177.21
2010-05-19,170.71
2010-05-20,167.42
2010-05-21,170.8
2010-05-24,168.97
2010-05-25,161.54
2010-05-26,163.3
2010-05-27,169.04
2010-05-28,168.78
2010-05-31,168.1
2010-06-01,165.2
2010-06-02,163.79
2010-06-03,164.38
2010-06-04,155.39
2010-06-07,153.36
2010-06-08,151.48
2010-06-09,156.01
2010-06-10,161.62
2010-06-11,168.5
2010-06-14,172.38
2010-06-15,176.67
2010-06-16,176.09
2010-06-17,177.26
2010-06-18,182.94
2010-06-21,183.8
